,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
782911,Thomson-Reuters,2020-05-27, Senior Software Engineer,"Current Employee, less than 1 year",Ahmedabad,5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Nice to work with Thomson Reuters,"There are so many pros like
1. good culture
2. good food with very good canteen infrastructure
3. good HR Policies
4. 5 day working
5. good supporting team and people
6. salary is done on 25th of every month
7. weekly seminars and activities are conducted to refresh our self
8. good flexi time
9. good leave management",I started my career at Thomson Reuters in march - 2020 but till now I do not find any cons.
616041,Oracle,2010-07-16," Director, Business Development",Former Employee,,2,3.0,,,3.0,3.0,1.0,x,x,o,Not such a great place after all,"fast moving pace, decisions get made",too politically charged. Not too much respect given to individuals.
644221,Oracle,2021-02-11, Manager,"Current Employee, more than 8 years","San Jose, CA",5,5.0,4.0,5.0,5.0,5.0,5.0,v,v,v,nice place to work,"good benefits, good salary, flexible schedule","can't think of any, all is good"
390236,IBM,2020-09-24, Manager,"Current Employee, more than 8 years",Chennai,4,5.0,5.0,,4.0,2.0,4.0,o,o,o,Good,"Flexible
work life balance
Employee Friendly
More Opportunities
Management","Salary is biggest issue with IBM,they give very very less hike sometime they don't. Also insurance policy is much"
436821,J-Sainsbury,2018-09-03, Anonymous Employee,"Former Employee, less than 1 year",,2,2.0,4.0,,2.0,1.0,1.0,x,r,x,"Worst, I could never","Good pay (after 6 months)
Some supervisors are helpful and nice","I was never introduced to my team, so I made no friends working there even after months!
People who work there are like family to each other, but if your new only count on the janitor to be your friend.(great guy!)
Short staffed made the job hard 
Allowed drunk customers to come in and harass worker because there are no supervisors around.
Lack of training meant that I had to learn how to do everything myself.
Unsupportive and unfriendly manager 
Unapproachable management 
Only get discount card 3 months and is only 10% off ( my manager didn’t really tell mr how to sort it so I never used it).
If you want to change your hours, GOOD LUCK TO THAT!"
635724,Oracle,2019-02-09, Fraud Analyst,Former Employee,,4,,,,,,,o,o,o,data analyst,"good company ,can settle down",salary need to improve with experience
186575,Deloitte,2017-02-27, Consulting Manager,Former Employee,"London, England, England",5,4.0,4.0,,5.0,5.0,5.0,v,o,r,Great training and experience for anyone starting a career,"For Consulting:
Great variety of clients, projects and roles 
Talented proactive colleagues
Good mentoring and coaching",Occasional long hours (but I never felt they were unreasonable).
186310,Deloitte,2017-02-08, Anonymous Employee,Current Employee,,5,,,,,,,o,o,o,Deloitte,"Felxible, Clients, Talent, Training, Support","Long hours, Pay, Work Life Balance"
208792,Deloitte,2020-12-29, Software Engineer,Current Employee,Hyderābād,5,,,,,,,o,o,v,Deloitte company is very good company,"so, i very interested to did in company",Deloitte is one of the best company IT industary
172708,Deloitte,2010-12-11, Consultant,Former Employee,"Chicago, IL",5,4.0,,,4.0,4.0,4.0,v,v,o,"Great place to work, if you find the right team","Work with smart, interesting, and highly motivated people
Interesting travel opportunities, though these can be few and far between
Great reputation and opportunity to work with the world's largest and most influential companies","If you don't network well, don't come to Deloitte
You have to be able to cultivate relationships with your partners and senior managers, or you are toast
Sometimes messages from the senior leadership are a bit too scripted and not realistic"
165596,DHL-Supply-Chain,2017-05-14, ,Former Employee,,4,4.0,4.0,,4.0,3.0,3.0,v,r,r,Operation supervisor,Strong training program for advancing,Political to advance within company
747658,Sky,2020-10-09, Technical Advisor,Current Employee,"Newcastle upon Tyne, England, England",4,3.0,5.0,5.0,3.0,4.0,3.0,v,o,r,My review,Very friendly and professional company,"Micromanagement, tedious job role and very repetitive after a while"
210635,Deloitte,2021-01-23, Senior Consultant,Current Employee,"Leeds, England, England",4,3.0,1.0,5.0,4.0,4.0,1.0,v,v,v,Great Experience,"Brand on the CV
Exposure to various roles and industries","Culture 
Middle management are poor"
389482,IBM,2020-08-27, GRC,"Current Employee, more than 3 years",Pune,5,5.0,4.0,,3.0,3.0,3.0,v,v,v,best,"wfh, flexibity, learning good ice",less salary managment bad review
356617,IBM,2015-08-16, ,Former Employee,Bangalore,5,5.0,5.0,,5.0,5.0,5.0,v,v,v,very good company,"good salary ,good environment,This article is about the technology company sometimes referred to as ""Big Blue"". For other uses of these terms, see IBM (disambiguation) and Big Blue (disambiguation).
International Business Machines Corporation


International Business Machines Corporation (commonly referred to as IBM) is an American multinational technology and consulting corporation, with headquarters in Armonk, New York. IBM manufactures and markets computer hardware, middleware and software, and offers infrastructure, hosting and consulting services in areas ranging from mainframe computers to nanotechnology.[3]

The company originated in 1911 as the Computing-Tabulating-Recording Company (CTR) through a merger of the Tabulating Machine Company, the International Time Recording Company, and the Computing Scale Company.[4][5] CTR was changed to ""International Business Machines"" in 1924, using a name which had originated with CTR's Canadian subsidiary. The initialism IBM followed. Securities analysts nicknamed the company Big Blue for its size and common use of the color in products, packaging, and logo.[6]",no cons no cons no cons
1645,ASDA,2015-08-18, Anonymous Employee,"Former Employee, less than 1 year",,2,,,,,,2.0,x,o,o,Nice staff but shocking managers and unbalanced expectations,Staff were nice enough; good focus on customer service,"Some awful managers who treat staff in their department like human garbage; uneven expectations across the board, e.g. one department is pushed to the limit to meet ridiculous targets (vastly disproportionate to the low pay) while another is lauded for passively exceeding targets where sales quotas are met, despite the fact that in the latter case sales are not dependent on staff effort (which is minimal for exactly that reason); managers and supervisors lack people skills."
824250,Waitrose,2020-02-17, Supermarket Assistant,"Current Employee, more than 1 year","Edinburgh, Scotland, Scotland",4,4.0,5.0,,4.0,5.0,4.0,v,r,r,Student Job,Good for students who want to work part time over a couple of days a week,Lack of flexibility with holidays and shift swaps
293278,Google,2018-06-27, Anonymous Employee,Former Employee,,4,2.0,5.0,,3.0,5.0,4.0,v,v,v,Analytics Intern,Very friendly work environment. I was certainly treated well by all other employees.,I felt my opinion was not considered very strongly amongst management. I suppose this could be expected.
690053,PwC,2020-01-07, Busineess Analyst,"Current Employee, more than 3 years",Tel Aviv-Yafo,4,2.0,2.0,,5.0,2.0,2.0,v,r,r,Good Experience,"Fast track career development, diversified projects","No work life balance, awful offices"
121350,Bupa,2016-02-10, Anonymous Employee,"Current Employee, more than 10 years","London, England, England",4,4.0,4.0,,4.0,3.0,3.0,v,o,v,Great place to work,Bupa is a purpose drive organisation that truly cares about its people and is starting to put them front and centre of their business strategy - they understand that by caring about their people they will deliver brilliant customer service.,"The ambition at Bupa is huge, which is admirable, but there are a some basics to fix at the same time as going after the more exciting things! Keeping aligned to it's Purpose of longer, healthier, happier lives keeps the frustrations at bay."
359951,IBM,2016-03-31, Anonymous Employee,"Current Employee, more than 5 years",,3,4.0,4.0,,5.0,2.0,2.0,v,r,v,Good company to work for,Provides ample oppurtunity to change domains.The growth is guarenteed if you  advertize your work and communicate with your manager constantly.,Don't expect to be paid handsomely very hard to get promoted and receive the incentives and benefits promised.
465609,KPMG,2021-01-05, Audit Manager,"Current Employee, more than 3 years",Cochin,4,3.0,4.0,4.0,3.0,4.0,3.0,v,r,v,KPMG GDC at Kochi,"Global Brand Value, Decent pay, world class systems and processes for learning","Hardly any technical learning, Not very smart colleagues, Not very skilled leadership"
639183,Oracle,2020-01-30, Aircraft Maintenance Engineer,"Current Employee, more than 3 years",,4,3.0,4.0,,2.0,3.0,3.0,v,v,v,Positive,"Good pay, if in the right org of Oracle.",Hard to get salary bumps. Very minimal. Not a lot of transparency around moving up.
813116,Vodafone,2015-12-22, Call Center Agent,Former Employee,Cairo,5,3.0,3.0,,1.0,3.0,3.0,x,v,r,it's amazing,you will love your work,i didnt notice any disadvantages
796781,University-of-Bristol,2018-06-20, Anonymous Employee,Current Employee,,4,4.0,5.0,,4.0,3.0,4.0,o,o,o,Friendly and relaxing place to work,"friendly, relaxing environment. Good admin and IT support for research.",old and malfunctioning facilities. Not much support for early career researchers.
54362,Aviva,2020-06-23, Head of Marketing,"Former Employee, more than 8 years","London, England, England",4,4.0,4.0,,4.0,4.0,5.0,v,r,r,"Great company, but  very complicated","Great Local Leadership, Clear Strategy, Good Culture","Bureaucratic, Complex, Traditional mindset, Federated. Too much plurality that senior management don't manage effectively."
94301,Barclays,2021-05-19, Process Expert,"Former Employee, more than 3 years",Noida,5,5.0,3.0,5.0,1.0,2.0,3.0,v,v,v,amazing place to work,Good work life balance and nice atmosphere,too much politics at all the levels
558928,Mercer,2013-03-07, ,Current Employee,,4,4.0,4.0,,4.0,3.0,4.0,v,v,o,Great company to work for,"Flexible hours, good benefits, good work/life balance","compensation, slow growth, less opportunity to learn new things"
650241,Pearson,2015-10-15, Anonymous Employee,Former Employee,,3,4.0,2.0,,4.0,2.0,1.0,x,v,x,Lack of cross knowledge sharing,"-Interesting sector to work in
-A few fun people to work with","-There are a lot of old timers there that won't change and won't give up the information they know
-Developers would REFUSE to adapt agile. This includes hissy fits and not paying attention during iteration planning"
539520,McDonald-s,2020-11-05, Cashier,Former Employee,,3,,,,,,,o,o,o,if you need money,a paycheck and a headache everyday,"everything else, broken things ,kids, ect"
372705,IBM,2017-12-05, Applications Developer,"Former Employee, more than 3 years",Hyderābād,3,4.0,3.0,,3.0,1.0,3.0,v,v,v,Application Developer,"Working from Home 
Good opportunities in south","No annual hikes
No Onsite opportunity"
1660,ASDA,2015-09-07, ,Former Employee,,4,4.0,3.0,,2.0,2.0,4.0,x,r,x,ASDA Seasonal,"Great experience on CV, Big company",Not much potential to step up ladder. Supervisors have been replaced by 'Runners' who get paid no more than Checkout staff.
136844,Citi,2012-01-26, Business Analyst,Current Employee,,2,3.0,,,3.0,1.0,2.0,v,v,o,Just a big name to work with and tell your friend that I work for CITI,"flexible,good name in banks, work from home, training and vacation benefit","Very poor salary package for beginners, hardly peanuts :(( Infact temporary staff gets 3-4 times the salary then the permanent ones. Very jealousy and unhappy with pay package as it include super and tax which leaves me with nothing. Boss appreciates ur work but no rewards, no bonus, no increment in salary packages nothing.Just very dry Feel like I earn so much but still I don't own anything .Wana go Shopping Spree for ages with a secured bank account ;)"
383430,IBM,2019-07-24, Software Analyst,"Former Employee, more than 5 years",,5,,,,,,,o,o,o,Great culture,"The Culture is great, thanks to the people that work there. So is the flexibility in terms of work.","Due to the recent poor performance of some divisons, bonuses are limited."
432022,J-P-Morgan,2021-03-03, Teller,"Former Employee, less than 1 year",,3,3.0,3.0,5.0,4.0,2.0,4.0,o,o,o,Great Company,"Had a blast working with a great manager and coworkers, Always room for you to grow and get promoted.",Can get caught up with hitting the numbers.
